Filename,Technique,Kernel,Method,Frame1,Frame2,Frame3,Frame4,Frame5,Frame6,Frame7,Frame8,Frame9,Frame10
WW182S125GN10.mat,gaussian,3,q1,"[[  0 235]
 [  0  48]
 [529  39]
 [529 161]]","[[  0 189]
 [  0  55]
 [529  68]
 [529 116]]","[[  0 266]
 [  0  67]
 [529  67]
 [529 193]]","[[  0 148]
 [  0  52]
 [529  35]
 [529 102]]","[[  0 144]
 [  0  23]
 [529  23]
 [529  33]]","[[  0 296]
 [  0  70]
 [529  70]
 [529 204]]","[[  0 268]
 [  0  72]
 [529  64]
 [529 194]]","[[  0  99]
 [  0   0]
 [529   8]
 [529   7]]","[[  0 266]
 [  0  65]
 [529  73]
 [529 210]]","[[  0 181]
 [  0  29]
 [529  38]
 [529  78]]"
WW182S125GN10.mat,gaussian,3,avg_min_intensity,"[[  0 191]
 [  0  23]
 [529  23]
 [529 154]]","[[  0 188]
 [  0  40]
 [529  40]
 [529  95]]","[[  0 361]
 [  0 117]
 [529 109]
 [529 276]]","[[  0 200]
 [  0   2]
 [529  10]
 [529  78]]","[[  0 291]
 [  0  80]
 [529  62]
 [529 149]]","[[  0 235]
 [  0  52]
 [529  33]
 [529 103]]","[[  0 263]
 [  0  85]
 [529 122]
 [529 198]]",[],"[[  0 154]
 [  0  26]
 [529  16]
 [529  42]]","[[  0 176]
 [  0  28]
 [529  28]
 [529  81]]"
WW182S125GN10.mat,gaussian,5,q1,"[[  0 112]
 [  0   0]
 [529   9]
 [529  19]]","[[  0 139]
 [  0  29]
 [529  24]
 [529  31]]","[[  0 126]
 [  0   5]
 [529  19]
 [529  43]]","[[  0 215]
 [  0  41]
 [529  32]
 [529  93]]","[[  0 283]
 [  0  81]
 [529  72]
 [529 218]]","[[  0 295]
 [  0  60]
 [529  43]
 [529 212]]","[[  0 238]
 [  0  49]
 [529  57]
 [529 146]]","[[  0 144]
 [  0  55]
 [529  19]
 [529  70]]","[[  0 139]
 [  0  12]
 [529  -5]
 [529  28]]","[[  0 284]
 [  0  91]
 [529  95]
 [529 199]]"
WW182S125GN10.mat,gaussian,5,avg_min_intensity,"[[  0  59]
 [  0  12]
 [529  21]
 [529  36]]","[[  0 220]
 [  0  58]
 [529  49]
 [529 109]]","[[  0 210]
 [  0  57]
 [529  11]
 [529  69]]","[[  0 220]
 [  0  53]
 [529  16]
 [529  59]]","[[  0 281]
 [  0 116]
 [529  92]
 [529 160]]","[[  0 236]
 [  0  56]
 [529  61]
 [529 119]]","[[  0 233]
 [  0  40]
 [529  26]
 [529  82]]","[[  0 346]
 [  0 103]
 [529 103]
 [529 185]]","[[  0 254]
 [  0 103]
 [529  76]
 [529 123]]","[[  0 282]
 [  0  29]
 [529  48]
 [529 121]]"
WW182S125GN10.mat,gaussian,7,q1,"[[  0 182]
 [  0  28]
 [529  37]
 [529  89]]","[[  0 253]
 [  0 112]
 [529 140]
 [529 198]]","[[  0 245]
 [  0  72]
 [529  72]
 [529 199]]","[[  0 270]
 [  0  50]
 [529  60]
 [529 214]]","[[  0 287]
 [  0  61]
 [529  80]
 [529 222]]","[[  0 302]
 [  0  46]
 [529  55]
 [529 218]]","[[  0 235]
 [  0 103]
 [529  93]
 [529 143]]","[[  0 136]
 [  0  45]
 [529   2]
 [529  71]]","[[  0 257]
 [  0  38]
 [529  29]
 [529 219]]","[[  0 280]
 [  0  42]
 [529  42]
 [529 196]]"
WW182S125GN10.mat,gaussian,7,avg_min_intensity,"[[  0  40]
 [  0   8]
 [529   8]
 [529  27]]","[[  0 262]
 [  0 103]
 [529 103]
 [529 150]]","[[  0 234]
 [  0 111]
 [529  89]
 [529 146]]","[[  0 320]
 [  0 126]
 [529 159]
 [529 234]]",[],"[[  0 296]
 [  0 121]
 [529 128]
 [529 193]]","[[  0 260]
 [  0  83]
 [529  83]
 [529 138]]",[],"[[  0 264]
 [  0 108]
 [529  89]
 [529 163]]","[[  0 281]
 [  0  88]
 [529  91]
 [529 139]]"
WW182S125GN10.mat,gaussian,9,q1,"[[  0 285]
 [  0  29]
 [529  29]
 [529 202]]","[[  0 268]
 [  0  66]
 [529  59]
 [529 185]]","[[  0 262]
 [  0  63]
 [529  72]
 [529 197]]","[[  0 262]
 [  0  69]
 [529  60]
 [529 207]]","[[  0 241]
 [  0  48]
 [529  48]
 [529 143]]","[[  0 292]
 [  0  70]
 [529  70]
 [529 218]]","[[  0 277]
 [  0 122]
 [529 131]
 [529 184]]","[[  0 263]
 [  0  66]
 [529  66]
 [529 216]]","[[  0 270]
 [  0  63]
 [529  63]
 [529 188]]","[[  0 276]
 [  0  78]
 [529  78]
 [529 202]]"
WW182S125GN10.mat,gaussian,9,avg_min_intensity,[],"[[  0 245]
 [  0 121]
 [529 121]
 [529 156]]","[[  0 243]
 [  0 102]
 [529  89]
 [529 102]]","[[  0 445]
 [  0 180]
 [529 189]
 [529 343]]",[],"[[  0 246]
 [  0  88]
 [529  83]
 [529 128]]","[[  0 283]
 [  0 104]
 [529  94]
 [529 160]]",[],"[[  0 254]
 [  0 112]
 [529  85]
 [529 150]]","[[  0 218]
 [  0  97]
 [529  74]
 [529 111]]"
WW182S125GN10.mat,gaussian,11,q1,"[[  0 177]
 [  0  40]
 [529  40]
 [529  79]]","[[  0 110]
 [  0  39]
 [529  13]
 [529  44]]","[[  0 111]
 [  0  56]
 [529  19]
 [529  66]]","[[  0 272]
 [  0 125]
 [529 134]
 [529 208]]","[[  0 135]
 [  0  22]
 [529  22]
 [529  23]]","[[  0 140]
 [  0  31]
 [529  31]
 [529  58]]","[[  0 171]
 [  0  46]
 [529  38]
 [529  97]]","[[  0 255]
 [  0  17]
 [529  45]
 [529 217]]","[[  0 255]
 [  0  65]
 [529  62]
 [529 209]]","[[  0 281]
 [  0  49]
 [529  58]
 [529 207]]"
WW182S125GN10.mat,gaussian,11,avg_min_intensity,[],"[[  0 221]
 [  0 108]
 [529 112]
 [529 146]]","[[  0 256]
 [  0  93]
 [529  93]
 [529 134]]","[[  0 248]
 [  0  62]
 [529  98]
 [529 108]]",[],"[[  0 321]
 [  0 119]
 [529 129]
 [529 198]]","[[  0 226]
 [  0  79]
 [529  69]
 [529  84]]",[],"[[  0 226]
 [  0  89]
 [529  94]
 [529 113]]","[[  0 203]
 [  0  85]
 [529  81]
 [529 101]]"
