Filename,Frame,Technique,Kernel,Method,IoU,Intersection Area,Union Area
WW182S125GN10.mat,10,gaussian,3,q1,0.8394518560664497,85582.17754688034,101950.07245311968
WW182S125GN10.mat,10,gaussian,3,avg_min_intensity,0.7099058774767726,72312.66810543876,101862.33189456127
WW182S125GN10.mat,10,gaussian,5,q1,0.8899827411233059,90767.825950541,101988.29904945902
WW182S125GN10.mat,10,gaussian,5,avg_min_intensity,0.601826958551677,61241.14623732547,101758.72876267454
WW182S125GN10.mat,10,gaussian,7,q1,0.8310907673233822,87727.75534402345,105557.36965597655
WW182S125GN10.mat,10,gaussian,7,avg_min_intensity,0.5899447049214668,60456.12955467269,102477.62044532731
WW182S125GN10.mat,10,gaussian,9,q1,0.86866280193588,89112.40177513228,102585.72322486773
WW182S125GN10.mat,10,gaussian,9,avg_min_intensity,0.52385859925346,53284.096110240105,101714.65388975988
WW182S125GN10.mat,10,gaussian,11,q1,0.9114744016637902,92986.59499192674,102017.78000807324
WW182S125GN10.mat,10,gaussian,11,avg_min_intensity,0.4827827803972902,49088.505557746474,101678.24444225352
WW182S125GN10.mat,10,gaussian,13,q1,0.8292961783404711,87654.1779296875,105697.0720703125
WW182S125GN10.mat,10,gaussian,13,avg_min_intensity,0.5072022904628405,51581.47248908768,101698.0275109123
WW182S125GN10.mat,10,gaussian,15,q1,0.8690936733304738,90089.20388692606,103658.79611307393
WW182S125GN10.mat,10,gaussian,15,avg_min_intensity,0.4710224817764893,47894.505432953665,101681.99456704633
WW182S125GN10.mat,10,gaussian,17,q1,0.8675590721586778,89819.71898582502,103531.53101417498
WW182S125GN10.mat,10,gaussian,17,avg_min_intensity,0.6483862667751832,66014.09159211331,101812.90840788669
WW182S125GN10.mat,10,gaussian,19,q1,0.8320637240003648,89105.21406422573,107089.41093577427
WW182S125GN10.mat,10,gaussian,19,avg_min_intensity,0.6028546572278439,61356.13160947079,101775.9933905292
WW182S125GN10.mat,10,gaussian,21,q1,0.8385318719478031,88516.88415599358,105561.74084400643
WW182S125GN10.mat,10,gaussian,21,avg_min_intensity,0.6254210468206064,63659.642789297286,101786.85721070273
WW182S125GN10.mat,10,gaussian,23,q1,0.9314184584741241,95475.02541442527,102504.97458557472
WW182S125GN10.mat,10,gaussian,23,avg_min_intensity,0.6112883367505783,62214.962903833395,101776.7870961666
WW182S125GN10.mat,10,gaussian,25,q1,0.9035709979895298,97114.23929100524,107478.26070899474
WW182S125GN10.mat,10,gaussian,25,avg_min_intensity,0.6783684179077579,70719.33865191262,104249.16134808738
WW182S125GN10.mat,10,gaussian,27,q1,0.8921064625632446,94093.54808353345,105473.45191646655
WW182S125GN10.mat,10,gaussian,27,avg_min_intensity,0.6481932462539001,66522.27447019526,102627.22552980474
WW182S125GN10.mat,10,gaussian,29,q1,0.877099906822473,94548.04306153962,107796.20693846038
WW182S125GN10.mat,10,gaussian,29,avg_min_intensity,0.7188583940945467,74391.871875,103486.128125
WW182S125GN10.mat,10,gaussian,31,q1,0.9113717344033451,96985.35247090989,106416.8975290901
WW182S125GN10.mat,10,gaussian,31,avg_min_intensity,0.7031133124953178,71606.11878461315,101841.50621538685
WW141S050G0.mat,10,gaussian,3,q1,0.5596815777059991,53611.575969140424,95789.42403085956
WW141S050G0.mat,10,gaussian,3,avg_min_intensity,0.7939306733499258,69426.53225789565,87446.59274210436
